PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(b): BFD down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(dl): DLDP down
(c): CFM down
InUti/OutUti: input utility rate/output utility rate
Interface                  PHY      Protocol  InUti OutUti   inErrors  outErrors
GE1/0/0                    up       up           0%     0%          0          0
GE1/0/1                    up       up           0%     0%          0          0
GE1/0/2                    up       up           0%     0%          0          0
GE1/0/3                    up       up           0%     0%          0          0
GE1/0/4                    up       up           0%     0%          0          0
GE1/0/5                    up       up           0%     0%          0          0
GE1/0/6                    up       up           0%     0%          0          0
GE1/0/7                    up       up           0%     0%          0          0
GE1/0/8                    up       up           0%     0%          0          0
GE1/0/9                    *down    down         0%     0%          0          0
MEth0/0/0                  up       up           0%     0%          0          0
NULL0                      up       up(s)        0%     0%          0          0
